COD_EMPRE,NUMERO_CUENTA,DESC_CUENTA,NIVEL_CUENTA,TIPO_CUENTA,SUMA_DETALLE,CUEN_DEPE,TIPO_SALDO,CLASIF_RESUL,CENTRO_COSTO,AGRUPADOR_FLUJOE,MANUAL_CUENTA,AGRUPADOR_FINANCIERO,CUENTA_INACTIVA,DESC_CUENTA2,MOSTRAR_CONSULTA
1004,1,ACTIVO,1,1,1,                  ,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,11,ACTIVO CORRIENTE,2,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101,EFECTIVO Y EQUIVALENTES DE EFECTIVO,3,1,1,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,110101,FONDOS DE CAJA,4,1,1,1101,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,11010101,CAJA GENERAL,5,1,2,110101,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,11010102,CAJAS CHICAS,5,1,1,110101,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101010201,CAJA CHICA / OFICINA CENTRAL,6,1,2,11010102,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101010202,CAJA CHICA / CASA EJERCICIOS AYAGUALO,6,1,2,11010102,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101010203,CAJA CHICA / PBRO. HERIBERTO HERRERA,6,1,2,11010102,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101010204,CAJA CHICA / LIBRERIA METROCENTRO,6,1,2,11010102,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101010205,CAJA CHICA / PBRO. ALEJANDRO HERNANDEZ,6,1,2,11010102,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101010206,CAJA CHICA / JYD - 06 CO1-071,6,1,2,11010102,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101010210,CAJA CHICA / PBRO. JORGE MIRANDA,6,1,2,11010102,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1101010211,CAJA CHICA / JYD GT 65-10 AACID,6,1,2,11010102,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
